pos	count	rate_among_hits
1	3240	0.000075
2	10475	0.000244
3	37350	0.000870
4	28211	0.000657
5	8437	0.000197
6	24928	0.000581
7	223052	0.005197
8	22385	0.000522
9	25956	0.000605
10	112786	0.002628
11	29939334	0.697514
12	4317899	0.100597
13	3670524	0.085514
14	4479113	0.104352
15	10936	0.000255
16	242	0.000006
17	194	0.000005
18	262	0.000006
19	386	0.000009
20	434	0.000010
21	517	0.000012
22	314	0.000007
23	654	0.000015
24	194	0.000005
25	516	0.000012
26	197	0.000005
27	300	0.000007
28	605	0.000014
29	395	0.000009
30	518	0.000012
31	558	0.000013
32	261	0.000006
33	184	0.000004
34	36	0.000001
35	6	0.000000
36	6	0.000000
37	232	0.000005
39	686	0.000016
40	15	0.000000
41	145	0.000003
42	11	0.000000
43	1	0.000000
45	3	0.000000
47	5	0.000000
48	1	0.000000
49	78	0.000002
50	45	0.000001
51	28	0.000001
52	29	0.000001
53	1	0.000000
54	1	0.000000
56	1	0.000000
59	1	0.000000
63	1	0.000000
65	1	0.000000
66	5	0.000000
67	9	0.000000
68	33	0.000001
69	10	0.000000
70	14	0.000000
71	6	0.000000
72	4	0.000000
73	2	0.000000
75	2	0.000000
77	3	0.000000
78	2	0.000000
79	1	0.000000
80	2	0.000000
82	11	0.000000
83	17	0.000000
84	35	0.000001
85	27	0.000001
86	25	0.000001
87	4	0.000000
88	4	0.000000
90	1	0.000000
99	1	0.000000
105	1	0.000000
107	1	0.000000
125	1	0.000000
