pos	count	rate_among_hits
1	1717	0.000061
2	6233	0.000222
3	13551	0.000483
4	13899	0.000495
5	5024	0.000179
6	10225	0.000364
7	144038	0.005135
8	12639	0.000451
9	14284	0.000509
10	79350	0.002829
11	22528755	0.803093
12	1967934	0.070152
13	1544577	0.055060
14	1698685	0.060554
15	8262	0.000295
16	117	0.000004
17	152	0.000005
18	147	0.000005
19	62	0.000002
20	72	0.000003
21	112	0.000004
22	101	0.000004
23	1622	0.000058
24	36	0.000001
25	38	0.000001
26	67	0.000002
27	246	0.000009
28	102	0.000004
29	38	0.000001
30	60	0.000002
31	59	0.000002
32	95	0.000003
33	7	0.000000
34	5	0.000000
36	1	0.000000
39	12	0.000000
41	2	0.000000
43	1	0.000000
48	1	0.000000
49	21	0.000001
50	34	0.000001
51	6	0.000000
52	20	0.000001
53	1	0.000000
58	2	0.000000
68	1	0.000000
69	2	0.000000
71	2	0.000000
77	2	0.000000
79	1	0.000000
82	7	0.000000
83	3	0.000000
84	42	0.000001
85	8	0.000000
86	21	0.000001
106	1	0.000000
